ID_sample,Site,Origin,time,mass_remaining
Exp1_1,Champ,Champ,0,100
Exp1_2,Champ,Champ,33,95.32363636
Exp1_3,Champ,Champ,33,98.50909091
Exp1_4,Champ,Champ,33,99.21818182
Exp1_5,Champ,Champ,64,86.14909091
Exp1_6,Champ,Champ,64,84.07272727
Exp1_7,Champ,Champ,64,83.90909091
Exp1_8,Champ,Champ,127,87.34090909
Exp1_9,Champ,Champ,127,90.76363636
Exp1_10,Champ,Champ,127,82.10181818
Exp1_11,Champ,Champ,188,72.54545455
Exp1_12,Champ,Champ,188,75.65818182
Exp1_13,Champ,Champ,188,75.25636364
Exp1_14,Champ,Champ,288,68.34909091
Exp1_15,Champ,Champ,288,72.96
Exp1_16,Champ,Champ,288,76.42181818
Exp1_17,Champ,Champ,392,48.07636364
Exp1_18,Champ,Champ,392,47.79636364
Exp1_19,Champ,Champ,392,53.87454545
Exp1_20,Champ,Champ,543,13.74545455
Exp1_21,Champ,Champ,543,31.38909091
Exp1_22,Champ,Champ,543,27.88363636
Exp1_23,Champ,Champ,679,51.04909091
Exp1_24,Champ,Champ,679,41.14909091
Exp1_25,Champ,Champ,679,50.65115152
Exp1_26,Champ,Champ,768,43.84
Exp1_27,Champ,Champ,768,53.60088398
Exp1_28,Champ,Champ,768,53.94
Exp1_29,Champ,Breu,0,100
Exp1_30,Champ,Breu,33,92.96181818
Exp1_31,Champ,Breu,33,92
Exp1_32,Champ,Breu,33,92.86545455
Exp1_33,Champ,Breu,64,82.82
Exp1_34,Champ,Breu,64,84.75272727
Exp1_35,Champ,Breu,64,82.36363636
Exp1_36,Champ,Breu,127,87.97090909
Exp1_37,Champ,Breu,127,82.10181818
Exp1_38,Champ,Breu,127,87.08181818
Exp1_39,Champ,Breu,188,83.42727273
Exp1_40,Champ,Breu,188,80.94545455
Exp1_41,Champ,Breu,188,86.05090909
Exp1_42,Champ,Breu,288,72.60363636
Exp1_43,Champ,Breu,288,59.17090909
Exp1_44,Champ,Breu,288,47.22181818
Exp1_45,Champ,Breu,392,55.02545455
Exp1_46,Champ,Breu,392,52.32
Exp1_47,Champ,Breu,392,53.96363636
Exp1_48,Champ,Breu,543,29.96727273
Exp1_49,Champ,Breu,543,51.27107512
Exp1_50,Champ,Breu,543,46.44363636
Exp1_51,Champ,Breu,679,64.41272727
Exp1_52,Champ,Breu,679,50.01818182
Exp1_53,Champ,Breu,679,68.04
Exp1_54,Champ,Breu,768,50.65636364
Exp1_55,Champ,Breu,768,51.8
Exp1_56,Champ,Breu,768,54.78181818
