ID_sample,Site,Origin,time,mass_remaining
Exp2_1,Champ,Champ,0,100
Exp2_2,Champ,Champ,118,96.5
Exp2_3,Champ,Champ,118,96
Exp2_4,Champ,Champ,118,97
Exp2_5,Champ,Champ,118,94.5
Exp2_6,Champ,Champ,118,95.5
Exp2_7,Champ,Champ,118,97
Exp2_8,Champ,Champ,118,94.5
Exp2_9,Champ,Champ,118,98.5
Exp2_10,Champ,Champ,118,95
Exp2_11,Champ,Champ,118,97
Exp2_12,Champ,Champ,118,97
Exp2_13,Champ,Champ,118,96.5
Exp2_14,Champ,Champ,118,95
Exp2_15,Champ,Champ,118,96.5
Exp2_16,Champ,Champ,118,92
Exp2_17,Champ,Champ,209,59
Exp2_18,Champ,Champ,209,84.5
Exp2_19,Champ,Champ,209,81.5
Exp2_20,Champ,Champ,209,79.5
Exp2_21,Champ,Champ,209,80.5
Exp2_22,Champ,Champ,209,87.5
Exp2_23,Champ,Champ,209,86.5
Exp2_24,Champ,Champ,209,91.5
Exp2_25,Champ,Champ,209,93.5
Exp2_26,Champ,Champ,209,85
Exp2_27,Champ,Champ,209,85
Exp2_28,Champ,Champ,209,77
Exp2_29,Champ,Champ,209,78
Exp2_30,Champ,Champ,209,79
Exp2_31,Champ,Champ,209,86
Exp2_32,Champ,Champ,271,69.5
Exp2_33,Champ,Champ,271,80
Exp2_34,Champ,Champ,271,79.5
Exp2_35,Champ,Champ,271,79
Exp2_36,Champ,Champ,271,77.5
Exp2_37,Champ,Champ,648,51
Exp2_38,Champ,Champ,648,42.5
Exp2_39,Champ,Champ,648,39.5
Exp2_40,Champ,Champ,648,31.5
Exp2_41,Champ,Champ,648,39.5
Exp2_42,Champ,Champ,893,45.5
Exp2_43,Champ,Champ,893,38
Exp2_44,Champ,Champ,893,34
Exp2_45,Champ,Champ,893,41.5
Exp2_46,Champ,Champ,893,28.5
Exp2_47,Champ,Champ,893,41.5
Exp2_48,Champ,Breu,0,100
Exp2_49,Champ,Breu,118,98
Exp2_50,Champ,Breu,118,97.5
Exp2_51,Champ,Breu,118,96.5
Exp2_52,Champ,Breu,118,98.5
Exp2_53,Champ,Breu,118,99.5
Exp2_54,Champ,Breu,118,87
Exp2_55,Champ,Breu,118,98
Exp2_56,Champ,Breu,118,99.5
Exp2_57,Champ,Breu,118,98
Exp2_58,Champ,Breu,118,99
Exp2_59,Champ,Breu,118,99.5
Exp2_60,Champ,Breu,118,99
Exp2_61,Champ,Breu,118,99.5
Exp2_62,Champ,Breu,118,98
Exp2_63,Champ,Breu,209,86
Exp2_64,Champ,Breu,209,88.5
Exp2_65,Champ,Breu,209,85.5
Exp2_66,Champ,Breu,209,83.5
Exp2_67,Champ,Breu,209,77
Exp2_68,Champ,Breu,209,97.5
Exp2_69,Champ,Breu,209,86.5
Exp2_70,Champ,Breu,209,90.5
Exp2_71,Champ,Breu,209,82
Exp2_72,Champ,Breu,209,90.5
Exp2_73,Champ,Breu,209,94.5
Exp2_74,Champ,Breu,209,92
Exp2_75,Champ,Breu,209,91
Exp2_76,Champ,Breu,209,89.5
Exp2_77,Champ,Breu,209,90.5
Exp2_78,Champ,Breu,271,78
Exp2_79,Champ,Breu,271,73
Exp2_80,Champ,Breu,271,70.5
Exp2_81,Champ,Breu,271,81.5
Exp2_82,Champ,Breu,271,82.5
Exp2_83,Champ,Breu,648,50.5
Exp2_84,Champ,Breu,648,48.5
Exp2_85,Champ,Breu,648,45.5
Exp2_86,Champ,Breu,648,47.5
Exp2_87,Champ,Breu,648,52.5
Exp2_88,Champ,Breu,893,42
Exp2_89,Champ,Breu,893,49
Exp2_90,Champ,Breu,893,40.5
Exp2_91,Champ,Breu,893,49
Exp2_92,Champ,Breu,893,44.5
Exp2_93,Champ,Breu,893,40
Exp2_94,Breu,Champ,0,100
Exp2_95,Breu,Champ,77,92
Exp2_96,Breu,Champ,77,91.5
Exp2_97,Breu,Champ,77,92.5
Exp2_98,Breu,Champ,77,89
Exp2_99,Breu,Champ,77,91.5
Exp2_100,Breu,Champ,77,95
Exp2_101,Breu,Champ,77,91
Exp2_102,Breu,Champ,77,87.5
Exp2_103,Breu,Champ,77,95.5
Exp2_104,Breu,Champ,77,90.5
Exp2_105,Breu,Champ,77,93.5
Exp2_106,Breu,Champ,77,91.5
Exp2_107,Breu,Champ,77,91
Exp2_108,Breu,Champ,77,96.5
Exp2_109,Breu,Champ,77,93
Exp2_110,Breu,Champ,271,61
Exp2_111,Breu,Champ,271,50
Exp2_112,Breu,Champ,271,72.5
Exp2_113,Breu,Champ,271,72.5
Exp2_114,Breu,Champ,271,58
Exp2_115,Breu,Champ,271,77
Exp2_116,Breu,Champ,271,81.5
Exp2_117,Breu,Champ,271,75.5
Exp2_118,Breu,Champ,271,76.5
Exp2_119,Breu,Champ,271,79.5
Exp2_120,Breu,Champ,544,38.5
Exp2_121,Breu,Champ,544,43.5
Exp2_122,Breu,Champ,544,41
Exp2_123,Breu,Champ,544,42.5
Exp2_124,Breu,Champ,544,42
Exp2_125,Breu,Champ,544,41
Exp2_126,Breu,Champ,544,54.5
Exp2_127,Breu,Champ,903,25
Exp2_128,Breu,Champ,903,21
Exp2_129,Breu,Champ,903,24.5
Exp2_130,Breu,Champ,903,31
Exp2_131,Breu,Champ,903,22.5
Exp2_132,Breu,Champ,903,33
Exp2_133,Breu,Champ,903,10
Exp2_134,Breu,Champ,903,35.5
Exp2_135,Breu,Champ,903,24.5
Exp2_136,Breu,Champ,903,16
Exp2_137,Breu,Champ,903,29.5
Exp2_138,Breu,Breu,0,100
Exp2_139,Breu,Breu,77,93
Exp2_140,Breu,Breu,77,92.5
Exp2_141,Breu,Breu,77,82
Exp2_142,Breu,Breu,77,92.5
Exp2_143,Breu,Breu,77,95
Exp2_144,Breu,Breu,77,92.5
Exp2_145,Breu,Breu,77,93
Exp2_146,Breu,Breu,77,93
Exp2_147,Breu,Breu,77,92.5
Exp2_148,Breu,Breu,77,92
Exp2_149,Breu,Breu,77,92.5
Exp2_150,Breu,Breu,77,92.5
Exp2_151,Breu,Breu,77,93
Exp2_152,Breu,Breu,77,93.5
Exp2_153,Breu,Breu,77,94.5
Exp2_154,Breu,Breu,271,75.5
Exp2_155,Breu,Breu,271,64.5
Exp2_156,Breu,Breu,271,71.5
Exp2_157,Breu,Breu,271,70.5
Exp2_158,Breu,Breu,271,77.5
Exp2_159,Breu,Breu,271,74.5
Exp2_160,Breu,Breu,271,66.5
Exp2_161,Breu,Breu,271,77.5
Exp2_162,Breu,Breu,271,73.5
Exp2_163,Breu,Breu,271,64.5
Exp2_164,Breu,Breu,544,56.5
Exp2_165,Breu,Breu,544,54.5
Exp2_166,Breu,Breu,544,49.5
Exp2_167,Breu,Breu,544,61
Exp2_168,Breu,Breu,544,48
Exp2_169,Breu,Breu,544,48.5
Exp2_170,Breu,Breu,544,58
Exp2_171,Breu,Breu,544,48.5
Exp2_172,Breu,Breu,544,57.5
Exp2_173,Breu,Breu,903,27.5
Exp2_174,Breu,Breu,903,27.5
Exp2_175,Breu,Breu,903,24.5
Exp2_176,Breu,Breu,903,34.5
Exp2_177,Breu,Breu,903,24
Exp2_178,Breu,Breu,903,19
Exp2_179,Breu,Breu,903,26
Exp2_180,Breu,Breu,903,21.5
Exp2_181,Breu,Breu,903,30
